tau,accuracy,f1,precision,recall,auc,dpr,eor,eOdds,kf,k,u,f,lf,nc,m
0.0,0.6749671738950467,0.7109751168022005,0.6807766971383884,0.744620836175107,0.6694944761211039,0.14091491819522906,0.08110537121001715,0.23620029860503702,2,0.0,7.0,3.0,0.0,0.0,0.0
0.0,0.6730867856195987,0.7123474474206548,0.6757669267748548,0.7535684208268998,0.6667994950868412,0.3926000860333561,0.29999493285904577,0.7491568874638,2,0.0,7.0,3.0,0.0,0.0,1.0
0.0,0.6749671738950467,0.7109751168022005,0.6807766971383884,0.744620836175107,0.6694944761211039,0.14091491819522906,0.08110537121001715,0.23620029860503702,2,0.0,7.0,3.0,0.0,1.0,0.0
0.0,0.6730867856195987,0.7123474474206548,0.6757669267748548,0.7535684208268998,0.6667994950868412,0.3926000860333561,0.29999493285904577,0.7491568874638,2,0.0,7.0,3.0,0.0,1.0,1.0
0.0,0.6767056737551492,0.7201211918251518,0.6731609421790844,0.7748628143275808,0.6689844528095872,0.1707673751624123,0.10279824125074086,0.29377488915322597,2,0.0,13.0,7.0,0.0,0.0,0.0
0.0,0.6691775187551545,0.714657687669659,0.6660263449016128,0.7712638876420476,0.6610819691896268,0.3714845250709006,0.2788891166875068,0.7087476627302143,2,0.0,13.0,7.0,0.0,0.0,1.0
0.0,0.6767056737551492,0.7201211918251518,0.6731609421790844,0.7748628143275808,0.6689844528095872,0.1707673751624123,0.10279824125074086,0.29377488915322597,2,0.0,13.0,7.0,0.0,1.0,0.0
0.0,0.6691775187551545,0.714657687669659,0.6660263449016128,0.7712638876420476,0.6610819691896268,0.3714845250709006,0.2788891166875068,0.7087476627302143,2,0.0,13.0,7.0,0.0,1.0,1.0
0.0,0.6784427065267623,0.7183523982032377,0.6785759115005794,0.7638022681578722,0.6717578722824131,0.1709602946966292,0.10363423818075652,0.2929034055671155,2,0.0,20.0,10.0,0.0,0.0,0.0
0.0,0.6662811717007013,0.715019444242321,0.6609205133103936,0.7794166588180494,0.6574092207600224,0.35836974077121536,0.2680185089548668,0.6831913398149834,2,0.0,20.0,10.0,0.0,0.0,1.0
0.0,0.6784427065267623,0.7183523982032377,0.6785759115005794,0.7638022681578722,0.6717578722824131,0.1709602946966292,0.10363423818075652,0.2929034055671155,2,0.0,20.0,10.0,0.0,1.0,0.0
0.0,0.6662811717007013,0.715019444242321,0.6609205133103936,0.7794166588180494,0.6574092207600224,0.35836974077121536,0.2680185089548668,0.6831913398149834,2,0.0,20.0,10.0,0.0,1.0,1.0
0.0,0.6774291579645614,0.7203511110284067,0.674319149983279,0.7740765567293035,0.6699067927432311,0.17103043361333015,0.10144908679973966,0.29470564544590805,2,0.0,26.0,14.0,0.0,0.0,0.0
0.0,0.6683091071613829,0.7172735749581503,0.6613260974829265,0.7838281118040621,0.6589476602615403,0.35725345831603217,0.26104195324693746,0.681844597640008,2,0.0,26.0,14.0,0.0,0.0,1.0
0.0,0.6774291579645614,0.7203511110284067,0.674319149983279,0.7740765567293035,0.6699067927432311,0.17103043361333015,0.10144908679973966,0.29470564544590805,2,0.0,26.0,14.0,0.0,1.0,0.0
0.0,0.6683091071613829,0.7172735749581503,0.6613260974829265,0.7838281118040621,0.6589476602615403,0.35725345831603217,0.26104195324693746,0.681844597640008,2,0.0,26.0,14.0,0.0,1.0,1.0
