k,u,f,tau,neg_corr,micro_agg,epsilon,perf_name,perf_val,fair_name,fair_val
,3.0,7.0,0.0,0.0,0.0,,accuracy,0.7499999999999999,dpr,0.10743839284542152
,3.0,7.0,0.0,0.0,1.0,,accuracy,0.6970000000000001,dpr,0.09785293322985196
,3.0,7.0,0.0,1.0,0.0,,accuracy,0.7499999999999999,dpr,0.10743839284542152
,3.0,7.0,0.0,1.0,1.0,,accuracy,0.6970000000000001,dpr,0.09785293322985196
,6.0,14.0,0.0,0.0,0.0,,accuracy,0.7440000000000001,dpr,0.10405276510188162
,6.0,14.0,0.0,0.0,1.0,,accuracy,0.6920000000000001,dpr,0.0991646600934836
,6.0,14.0,0.0,1.0,0.0,,accuracy,0.7440000000000001,dpr,0.10405276510188162
,6.0,14.0,0.0,1.0,1.0,,accuracy,0.6920000000000001,dpr,0.0991646600934836
,9.4,20.6,0.0,0.0,0.0,,accuracy,0.7490000000000001,dpr,0.11373986173669193
,9.4,20.6,0.0,0.0,1.0,,accuracy,0.696,dpr,0.08489770750240891
,9.4,20.6,0.0,1.0,0.0,,accuracy,0.7490000000000001,dpr,0.11373986173669193
,9.4,20.6,0.0,1.0,1.0,,accuracy,0.696,dpr,0.08489770750240891
,12.6,27.4,0.0,0.0,0.0,,accuracy,0.746,dpr,0.11810948022883767
,12.6,27.4,0.0,0.0,1.0,,accuracy,0.6900000000000001,dpr,0.05092799627643803
,12.6,27.4,0.0,1.0,0.0,,accuracy,0.746,dpr,0.11810948022883767
,12.6,27.4,0.0,1.0,1.0,,accuracy,0.6900000000000001,dpr,0.05092799627643803
,15.6,34.4,0.0,0.0,0.0,,accuracy,0.75,dpr,0.1218989772411074
,15.6,34.4,0.0,0.0,1.0,,accuracy,0.6729999999999999,dpr,0.04809280535001596
,15.6,34.4,0.0,1.0,0.0,,accuracy,0.75,dpr,0.1218989772411074
,15.6,34.4,0.0,1.0,1.0,,accuracy,0.6729999999999999,dpr,0.04809280535001596
,18.6,41.4,0.0,0.0,0.0,,accuracy,0.7440000000000001,dpr,0.1158113244825969
,18.6,41.4,0.0,0.0,1.0,,accuracy,0.6859999999999999,dpr,0.0717907136411969
,18.6,41.4,0.0,1.0,0.0,,accuracy,0.7440000000000001,dpr,0.1158113244825969
,18.6,41.4,0.0,1.0,1.0,,accuracy,0.6859999999999999,dpr,0.0717907136411969
,21.6,48.4,0.0,0.0,0.0,,accuracy,0.747,dpr,0.12536986915796522
,21.6,48.4,0.0,0.0,1.0,,accuracy,0.6729999999999999,dpr,0.039341586322627874
,21.6,48.4,0.0,1.0,0.0,,accuracy,0.747,dpr,0.12536986915796522
,21.6,48.4,0.0,1.0,1.0,,accuracy,0.6729999999999999,dpr,0.039341586322627874
,24.8,55.2,0.0,0.0,0.0,,accuracy,0.7390000000000001,dpr,0.11306438876065487
,24.8,55.2,0.0,0.0,1.0,,accuracy,0.6869999999999999,dpr,0.06198528239636065
,24.8,55.2,0.0,1.0,0.0,,accuracy,0.7390000000000001,dpr,0.11306438876065487
,24.8,55.2,0.0,1.0,1.0,,accuracy,0.6869999999999999,dpr,0.06198528239636065
,28.0,62.0,0.0,0.0,0.0,,accuracy,0.755,dpr,0.10444379452204222
,28.0,62.0,0.0,0.0,1.0,,accuracy,0.645,dpr,0.04719960470741029
,28.0,62.0,0.0,1.0,0.0,,accuracy,0.755,dpr,0.10444379452204222
,28.0,62.0,0.0,1.0,1.0,,accuracy,0.645,dpr,0.04719960470741029
,31.2,68.8,0.0,0.0,0.0,,accuracy,0.743,dpr,0.11131076347761784
,31.2,68.8,0.0,0.0,1.0,,accuracy,0.6449999999999999,dpr,0.09118137981875296
,31.2,68.8,0.0,1.0,0.0,,accuracy,0.743,dpr,0.11131076347761784
,31.2,68.8,0.0,1.0,1.0,,accuracy,0.6449999999999999,dpr,0.09118137981875296
10.0,,,0.0,0.0,0.0,,accuracy,0.746,dpr,0.11297091955184765
10.0,,,0.0,0.0,1.0,,accuracy,0.6990000000000001,dpr,0.13562022263978438
10.0,,,0.0,1.0,0.0,,accuracy,0.746,dpr,0.11297091955184765
10.0,,,0.0,1.0,1.0,,accuracy,0.6990000000000001,dpr,0.13562022263978438
20.0,,,0.0,0.0,0.0,,accuracy,0.742,dpr,0.12368187926575
20.0,,,0.0,0.0,1.0,,accuracy,0.6910000000000001,dpr,0.10945986312716133
20.0,,,0.0,1.0,0.0,,accuracy,0.742,dpr,0.12368187926575
20.0,,,0.0,1.0,1.0,,accuracy,0.6910000000000001,dpr,0.10945986312716133
30.0,,,0.0,0.0,0.0,,accuracy,0.748,dpr,0.11087546363331433
30.0,,,0.0,0.0,1.0,,accuracy,0.6970000000000001,dpr,0.05574033200948445
30.0,,,0.0,1.0,0.0,,accuracy,0.748,dpr,0.11087546363331433
30.0,,,0.0,1.0,1.0,,accuracy,0.6970000000000001,dpr,0.05574033200948445
40.0,,,0.0,0.0,0.0,,accuracy,0.752,dpr,0.10396461040464547
40.0,,,0.0,0.0,1.0,,accuracy,0.6859999999999999,dpr,0.13021551869324308
40.0,,,0.0,1.0,0.0,,accuracy,0.752,dpr,0.10396461040464547
40.0,,,0.0,1.0,1.0,,accuracy,0.6859999999999999,dpr,0.13021551869324308
50.0,,,0.0,0.0,0.0,,accuracy,0.743,dpr,0.12041713382978556
50.0,,,0.0,0.0,1.0,,accuracy,0.6859999999999999,dpr,0.15711137146028342
50.0,,,0.0,1.0,0.0,,accuracy,0.743,dpr,0.12041713382978556
50.0,,,0.0,1.0,1.0,,accuracy,0.6859999999999999,dpr,0.15711137146028342
60.0,,,0.0,0.0,0.0,,accuracy,0.75,dpr,0.13736714854284915
60.0,,,0.0,0.0,1.0,,accuracy,0.701,dpr,0.0835459942353862
60.0,,,0.0,1.0,0.0,,accuracy,0.75,dpr,0.13736714854284915
60.0,,,0.0,1.0,1.0,,accuracy,0.701,dpr,0.0835459942353862
70.0,,,0.0,0.0,0.0,,accuracy,0.74,dpr,0.11382890361322348
70.0,,,0.0,0.0,1.0,,accuracy,0.698,dpr,0.10456540771063713
70.0,,,0.0,1.0,0.0,,accuracy,0.74,dpr,0.11382890361322348
70.0,,,0.0,1.0,1.0,,accuracy,0.698,dpr,0.10456540771063713
80.0,,,0.0,0.0,0.0,,accuracy,0.746,dpr,0.12078761756226775
80.0,,,0.0,0.0,1.0,,accuracy,0.687,dpr,0.023475003372318427
80.0,,,0.0,1.0,0.0,,accuracy,0.746,dpr,0.12078761756226775
80.0,,,0.0,1.0,1.0,,accuracy,0.687,dpr,0.023475003372318427
90.0,,,0.0,0.0,0.0,,accuracy,0.735,dpr,0.1405046156509045
90.0,,,0.0,0.0,1.0,,accuracy,0.647,dpr,0.0959065143450953
90.0,,,0.0,1.0,0.0,,accuracy,0.735,dpr,0.1405046156509045
90.0,,,0.0,1.0,1.0,,accuracy,0.647,dpr,0.0959065143450953
100.0,,,0.0,0.0,0.0,,accuracy,0.7440000000000001,dpr,0.11600612923005935
100.0,,,0.0,0.0,1.0,,accuracy,0.6519999999999999,dpr,0.14158789465122315
100.0,,,0.0,1.0,0.0,,accuracy,0.7440000000000001,dpr,0.11600612923005935
100.0,,,0.0,1.0,1.0,,accuracy,0.6519999999999999,dpr,0.14158789465122315
,3.0,7.0,0.1,0.0,0.0,,accuracy,0.748,dpr,0.09490681572080953
,3.0,7.0,0.1,0.0,1.0,,accuracy,0.7060000000000001,dpr,0.13986746367263456
,3.0,7.0,0.1,1.0,0.0,,accuracy,0.75,dpr,0.08792313084594394
,3.0,7.0,0.1,1.0,1.0,,accuracy,0.7020000000000001,dpr,0.12294430748009973
,6.0,14.0,0.1,0.0,0.0,,accuracy,0.747,dpr,0.11218768573680228
,6.0,14.0,0.1,0.0,1.0,,accuracy,0.6940000000000001,dpr,0.0719821204109439
,6.0,14.0,0.1,1.0,0.0,,accuracy,0.7440000000000001,dpr,0.09884577239488893
,6.0,14.0,0.1,1.0,1.0,,accuracy,0.684,dpr,0.08728671071553422
,9.4,20.6,0.1,0.0,0.0,,accuracy,0.7490000000000001,dpr,0.11373986173669193
,9.4,20.6,0.1,0.0,1.0,,accuracy,0.696,dpr,0.08489770750240891
,9.4,20.6,0.1,1.0,0.0,,accuracy,0.7490000000000001,dpr,0.11373986173669193
,9.4,20.6,0.1,1.0,1.0,,accuracy,0.696,dpr,0.08489770750240891
,12.6,27.4,0.1,0.0,0.0,,accuracy,0.746,dpr,0.11810948022883767
,12.6,27.4,0.1,0.0,1.0,,accuracy,0.6900000000000001,dpr,0.05092799627643803
,12.6,27.4,0.1,1.0,0.0,,accuracy,0.746,dpr,0.11810948022883767
