tau,accuracy,f1,precision,recall,auc,dpr,eor,eOdds,kf,k,u,f,lf,nc,m
0.0,0.7499999999999999,0.8284069542935631,0.7950385160575643,0.8651756132811853,0.6722113376757098,0.10743839284542153,0.057512583930014814,0.23190161028498543,2,0.0,3.0,7.0,0.0,0.0,0.0
0.0,0.697,0.8121664227814467,0.7169793833742898,0.9371718180263573,0.5362755041806386,0.09785293322985197,0.08339473373949687,0.21519273032077516,2,0.0,3.0,7.0,0.0,0.0,1.0
0.0,0.7499999999999999,0.8284069542935631,0.7950385160575643,0.8651756132811853,0.6722113376757098,0.10743839284542153,0.057512583930014814,0.23190161028498543,2,0.0,3.0,7.0,0.0,1.0,0.0
0.0,0.697,0.8121664227814467,0.7169793833742898,0.9371718180263573,0.5362755041806386,0.09785293322985197,0.08339473373949687,0.21519273032077516,2,0.0,3.0,7.0,0.0,1.0,1.0
0.0,0.744,0.8233520941465098,0.7941802341034422,0.8552425451008299,0.6687882036882542,0.10405276510188162,0.06421081846024894,0.21751797347019033,2,0.0,6.0,14.0,0.0,0.0,0.0
0.0,0.692,0.8085838539195709,0.7133581880697266,0.9334871294156153,0.5290612904090396,0.09916466009348361,0.0992369275161494,0.22378417932346312,2,0.0,6.0,14.0,0.0,0.0,1.0
0.0,0.744,0.8233520941465098,0.7941802341034422,0.8552425451008299,0.6687882036882542,0.10405276510188162,0.06421081846024894,0.21751797347019033,2,0.0,6.0,14.0,0.0,1.0,0.0
0.0,0.692,0.8085838539195709,0.7133581880697266,0.9334871294156153,0.5290612904090396,0.09916466009348361,0.0992369275161494,0.22378417932346312,2,0.0,6.0,14.0,0.0,1.0,1.0
0.0,0.749,0.828563021761368,0.7915921449150216,0.8694613275668995,0.6685355607163508,0.11373986173669193,0.0558857495484635,0.2316774479253012,2,0.0,9.4,20.6,0.0,0.0,0.0
0.0,0.696,0.8116893111754585,0.7157853670665614,0.9380846466864152,0.5338644760618946,0.08489770750240891,0.06518656783111483,0.2078738039394036,2,0.0,9.4,20.6,0.0,0.0,1.0
0.0,0.749,0.828563021761368,0.7915921449150216,0.8694613275668995,0.6685355607163508,0.11373986173669193,0.0558857495484635,0.2316774479253012,2,0.0,9.4,20.6,0.0,1.0,0.0
0.0,0.696,0.8116893111754585,0.7157853670665614,0.9380846466864152,0.5338644760618946,0.08489770750240891,0.06518656783111483,0.2078738039394036,2,0.0,9.4,20.6,0.0,1.0,1.0
0.0,0.746,0.8267185137130599,0.7903098424032948,0.8668443485823877,0.6648808669603596,0.11810948022883767,0.06946407368488097,0.25469315061674425,2,0.0,12.6,27.4,0.0,0.0,0.0
0.0,0.6900000000000001,0.8079108118991505,0.7121954924285782,0.9339247789319227,0.526823062985881,0.05092799627643803,0.05470343093568748,0.10648400850573872,2,0.0,12.6,27.4,0.0,0.0,1.0
0.0,0.746,0.8267185137130599,0.7903098424032948,0.8668443485823877,0.6648808669603596,0.11810948022883767,0.06946407368488097,0.25469315061674425,2,0.0,12.6,27.4,0.0,1.0,0.0
0.0,0.6900000000000001,0.8079108118991505,0.7121954924285782,0.9339247789319227,0.526823062985881,0.05092799627643803,0.05470343093568748,0.10648400850573872,2,0.0,12.6,27.4,0.0,1.0,1.0
0.0,0.75,0.8289847488992994,0.7925036346063541,0.8694542666276843,0.6700754303494654,0.1218989772411074,0.062096195838353706,0.24785865444910954,2,0.0,15.6,34.4,0.0,0.0,0.0
0.0,0.673,0.7959715416589128,0.7041179260414593,0.9197852481533989,0.5098868363742257,0.04809280535001596,0.05333964040126786,0.11415553148031683,2,0.0,15.6,34.4,0.0,0.0,1.0
0.0,0.75,0.8289847488992994,0.7925036346063541,0.8694542666276843,0.6700754303494654,0.1218989772411074,0.062096195838353706,0.24785865444910954,2,0.0,15.6,34.4,0.0,1.0,0.0
0.0,0.673,0.7959715416589128,0.7041179260414593,0.9197852481533989,0.5098868363742257,0.04809280535001596,0.05333964040126786,0.11415553148031683,2,0.0,15.6,34.4,0.0,1.0,1.0
0.0,0.744,0.8243322177788824,0.7899604726944564,0.8621579627719335,0.664209975107651,0.1158113244825969,0.06385589318354082,0.2377256696384566,2,0.0,18.6,41.4,0.0,0.0,0.0
0.0,0.6859999999999999,0.8020720389385131,0.7157307993730407,0.9137395763804228,0.5315202262924583,0.0717907136411969,0.10371913876441011,0.16478922255895206,2,0.0,18.6,41.4,0.0,0.0,1.0
0.0,0.744,0.8243322177788824,0.7899604726944564,0.8621579627719335,0.664209975107651,0.1158113244825969,0.06385589318354082,0.2377256696384566,2,0.0,18.6,41.4,0.0,1.0,0.0
0.0,0.6859999999999999,0.8020720389385131,0.7157307993730407,0.9137395763804228,0.5315202262924583,0.0717907136411969,0.10371913876441011,0.16478922255895206,2,0.0,18.6,41.4,0.0,1.0,1.0
0.0,0.747,0.8265778646698079,0.7926791331782007,0.8639700130737703,0.6684493335919027,0.12536986915796522,0.07096055258097433,0.25161790608662504,2,0.0,21.6,48.4,0.0,0.0,0.0
0.0,0.673,0.7943927416091066,0.7065765397464163,0.9074010962843646,0.5139129683217161,0.039341586322627874,0.06115432780705281,0.11201740893329179,2,0.0,21.6,48.4,0.0,0.0,1.0
0.0,0.747,0.8265778646698079,0.7926791331782007,0.8639700130737703,0.6684493335919027,0.12536986915796522,0.07096055258097433,0.25161790608662504,2,0.0,21.6,48.4,0.0,1.0,0.0
0.0,0.673,0.7943927416091066,0.7065765397464163,0.9074010962843646,0.5139129683217161,0.039341586322627874,0.06115432780705281,0.11201740893329179,2,0.0,21.6,48.4,0.0,1.0,1.0
0.0,0.7390000000000001,0.8233322246480308,0.7807483547062708,0.8712328510196988,0.650694578657823,0.11306438876065487,0.06916795959847541,0.21850162099096035,2,0.0,24.8,55.2,0.0,0.0,0.0
