micro_agg,neg_corr,precision,accuracy,recall,tau,u,auc,eor,dpr,epsilon,eOdds,f,f1,k
0.0,0.0,0.7950385160575643,0.7499999999999999,0.8651756132811853,0.0,3.0,0.6722113376757098,0.057512583930014814,0.10743839284542152,,0.23190161028498546,7.0,0.8284069542935631,
1.0,0.0,0.7169793833742898,0.6970000000000001,0.9371718180263572,0.0,3.0,0.5362755041806386,0.08339473373949688,0.09785293322985196,,0.2151927303207752,7.0,0.8121664227814467,
0.0,1.0,0.7950385160575643,0.7499999999999999,0.8651756132811853,0.0,3.0,0.6722113376757098,0.057512583930014814,0.10743839284542152,,0.23190161028498546,7.0,0.8284069542935631,
1.0,1.0,0.7169793833742898,0.6970000000000001,0.9371718180263572,0.0,3.0,0.5362755041806386,0.08339473373949688,0.09785293322985196,,0.2151927303207752,7.0,0.8121664227814467,
0.0,0.0,0.7941802341034422,0.7440000000000001,0.8552425451008299,0.0,6.0,0.6687882036882542,0.06421081846024894,0.10405276510188162,,0.21751797347019036,14.0,0.8233520941465098,
1.0,0.0,0.7133581880697266,0.6920000000000001,0.9334871294156152,0.0,6.0,0.5290612904090396,0.0992369275161494,0.0991646600934836,,0.22378417932346312,14.0,0.8085838539195709,
0.0,1.0,0.7941802341034422,0.7440000000000001,0.8552425451008299,0.0,6.0,0.6687882036882542,0.06421081846024894,0.10405276510188162,,0.21751797347019036,14.0,0.8233520941465098,
1.0,1.0,0.7133581880697266,0.6920000000000001,0.9334871294156152,0.0,6.0,0.5290612904090396,0.0992369275161494,0.0991646600934836,,0.22378417932346312,14.0,0.8085838539195709,
0.0,0.0,0.7915921449150216,0.7490000000000001,0.8694613275668995,0.0,9.4,0.6685355607163508,0.0558857495484635,0.11373986173669193,,0.2316774479253012,20.6,0.8285630217613679,
1.0,0.0,0.7157853670665614,0.696,0.9380846466864152,0.0,9.4,0.5338644760618946,0.06518656783111483,0.08489770750240891,,0.2078738039394036,20.6,0.8116893111754585,
0.0,1.0,0.7915921449150216,0.7490000000000001,0.8694613275668995,0.0,9.4,0.6685355607163508,0.0558857495484635,0.11373986173669193,,0.2316774479253012,20.6,0.8285630217613679,
1.0,1.0,0.7157853670665614,0.696,0.9380846466864152,0.0,9.4,0.5338644760618946,0.06518656783111483,0.08489770750240891,,0.2078738039394036,20.6,0.8116893111754585,
0.0,0.0,0.7903098424032948,0.746,0.8668443485823877,0.0,12.6,0.6648808669603596,0.06946407368488097,0.11810948022883767,,0.25469315061674425,27.4,0.8267185137130599,
1.0,0.0,0.7121954924285782,0.6900000000000001,0.9339247789319228,0.0,12.6,0.526823062985881,0.05470343093568748,0.05092799627643803,,0.10648400850573872,27.4,0.8079108118991505,
0.0,1.0,0.7903098424032948,0.746,0.8668443485823877,0.0,12.6,0.6648808669603596,0.06946407368488097,0.11810948022883767,,0.25469315061674425,27.4,0.8267185137130599,
1.0,1.0,0.7121954924285782,0.6900000000000001,0.9339247789319228,0.0,12.6,0.526823062985881,0.05470343093568748,0.05092799627643803,,0.10648400850573872,27.4,0.8079108118991505,
