accuracy,f1,precision,recall,auc,dpr,eor,eOdds,kf,t,k,u,f,lf,nc,m,e
0.5519999999999999,0.4982177188100792,0.426,0.6,0.5,0.0,0.0,0.0,2,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.01
0.618,0.6579774785698389,0.5589999999999999,0.8,0.5,0.0,0.0,0.0,2,0.0,0.0,3.0,7.0,0.0,0.0,1.0,0.01
0.686,0.8093468856582712,0.7033467962539826,0.9574876847290639,0.5054105090311987,0.03658575664403736,0.040281890017739054,0.0736152233510724,2,0.0,0.0,3.0,7.0,0.0,1.0,0.0,0.01
0.466,0.34140657329924323,0.33599999999999997,0.40428571428571425,0.4871428571428572,0.006692406692406694,0.012,0.020333333333333335,2,0.0,0.0,3.0,7.0,0.0,1.0,1.0,0.01
0.5439999999999999,0.49549767120924615,0.422,0.6,0.5,0.0,0.0,0.0,2,0.1,0.0,3.0,7.0,0.0,0.0,0.0,0.01
0.526,0.48167993990541397,0.6258373983739838,0.5364661654135338,0.513009202109752,0.02322830852242617,0.023157894736842117,0.05252726410621147,2,0.1,0.0,3.0,7.0,0.0,0.0,1.0,0.01
0.538,0.49327159621689776,0.41900000000000004,0.6,0.5,0.0,0.0,0.0,2,0.1,0.0,3.0,7.0,0.0,1.0,0.0,0.01
0.5539999999999999,0.4989077308852904,0.42699999999999994,0.6,0.5,0.0,0.0,0.0,2,0.1,0.0,3.0,7.0,0.0,1.0,1.0,0.01
0.48,0.38897360703812317,0.43200000000000005,0.43609022556390975,0.5061048142744922,0.003921568627450978,0.006315789473684214,0.011360834518729258,2,0.2,0.0,3.0,7.0,0.0,0.0,0.0,0.01
0.44799999999999995,0.32515565418791226,0.274,0.4,0.5,0.0,0.0,0.0,2,0.2,0.0,3.0,7.0,0.0,0.0,1.0,0.01
0.509,0.45042698003312615,0.4275346534653465,0.5020689655172415,0.5019435736677116,0.018018455560951926,0.014707305273343008,0.04160789006866465,2,0.2,0.0,3.0,7.0,0.0,1.0,0.0,0.01
0.538,0.49327159621689776,0.41900000000000004,0.6,0.5,0.0,0.0,0.0,2,0.2,0.0,3.0,7.0,0.0,1.0,1.0,0.01
0.5539999999999999,0.4989077308852904,0.42699999999999994,0.6,0.5,0.0,0.0,0.0,2,0.3,0.0,3.0,7.0,0.0,0.0,0.0,0.01
0.538,0.49327159621689776,0.41900000000000004,0.6,0.5,0.0,0.0,0.0,2,0.3,0.0,3.0,7.0,0.0,0.0,1.0,0.01
0.472,0.333511836457138,0.286,0.4,0.5,0.0,0.0,0.0,2,0.3,0.0,3.0,7.0,0.0,1.0,0.0,0.01
0.538,0.49327159621689776,0.41900000000000004,0.6,0.5,0.0,0.0,0.0,2,0.3,0.0,3.0,7.0,0.0,1.0,1.0,0.01
0.7,0.8233733729979914,0.7,1.0,0.5,0.0,0.0,0.0,2,0.4,0.0,3.0,7.0,0.0,0.0,0.0,0.01
0.46399999999999997,0.33079178885630495,0.282,0.4,0.5,0.0,0.0,0.0,2,0.4,0.0,3.0,7.0,0.0,0.0,1.0,0.01
0.53,0.4905515486160647,0.41500000000000004,0.6,0.5,0.0,0.0,0.0,2,0.4,0.0,3.0,7.0,0.0,1.0,0.0,0.01
0.5810000000000001,0.6064144401215545,0.5541553398058252,0.6936170212765957,0.48409664623151827,0.01618467782851345,0.019892183288409693,0.021207972762093897,2,0.4,0.0,3.0,7.0,0.0,1.0,1.0,0.01
