k,u,f,tau,neg_corr,micro_agg,epsilon,perf_name,perf_val,fair_name,fair_val
,3.0,7.0,0.0,0.0,0.0,,accuracy,0.8507107972676835,dpr,0.18578859840515172
,3.0,7.0,0.0,0.0,1.0,,accuracy,0.8376276081365901,dpr,0.2729136884448905
,3.0,7.0,0.0,1.0,0.0,,accuracy,0.8507107972676835,dpr,0.18578859840515172
,3.0,7.0,0.0,1.0,1.0,,accuracy,0.8376276081365901,dpr,0.2729136884448905
,7.0,13.0,0.0,0.0,0.0,,accuracy,0.8505879188513921,dpr,0.1739517159323535
,7.0,13.0,0.0,0.0,1.0,,accuracy,0.8130583050493229,dpr,0.3001675910648769
,7.0,13.0,0.0,1.0,0.0,,accuracy,0.8505879188513921,dpr,0.1739517159323535
,7.0,13.0,0.0,1.0,1.0,,accuracy,0.8130583050493229,dpr,0.3001675910648769
,10.0,20.0,0.0,0.0,0.0,,accuracy,0.8504958472772846,dpr,0.1791471671112105
,10.0,20.0,0.0,0.0,1.0,,accuracy,0.7990843393538004,dpr,0.2850696647969805
,10.0,20.0,0.0,1.0,0.0,,accuracy,0.8504958472772846,dpr,0.1791471671112105
,10.0,20.0,0.0,1.0,1.0,,accuracy,0.7990843393538004,dpr,0.2850696647969805
,13.0,27.0,0.0,0.0,0.0,,accuracy,0.8511100413046521,dpr,0.18084877129109125
,13.0,27.0,0.0,0.0,1.0,,accuracy,0.7857864548732812,dpr,0.2875099716966457
,13.0,27.0,0.0,1.0,0.0,,accuracy,0.8511100413046521,dpr,0.18084877129109125
,13.0,27.0,0.0,1.0,1.0,,accuracy,0.7857864548732812,dpr,0.2875099716966457
,16.6,33.4,0.0,0.0,0.0,,accuracy,0.8504651064531303,dpr,0.17954526331873805
,16.6,33.4,0.0,0.0,1.0,,accuracy,0.7770646148640161,dpr,0.2885276475805679
,16.6,33.4,0.0,1.0,0.0,,accuracy,0.8504651064531303,dpr,0.17954526331873805
,16.6,33.4,0.0,1.0,1.0,,accuracy,0.7770646148640161,dpr,0.2885276475805679
,20.0,40.0,0.0,0.0,0.0,,accuracy,0.8508336190970922,dpr,0.1768995163104502
